config,parameter,truth,bias,rmse,emp_sd,n_valid,n_converged,n_total,status_note
latent_n1000_D2_a0.2,beta4,0.0,-0.0026260050846316084,0.08108221674205279,0.08112084289135266,500,500,500,
latent_n1000_D2_a0.2,beta5,0.0,-0.001468346611514831,0.07811811213753476,0.07818253269752078,500,500,500,
latent_n500_D1_a0.3,beta0,0.0,-0.0004007549032673541,0.1283809192400751,0.12851122726965705,491,491,500,name corrected from beta0.eta_pi
latent_n500_D1_a0.3,beta1,1.0,0.017335563127279782,0.16412808831376524,0.16337646674184614,491,491,500,
latent_n500_D1_a0.3,beta2,0.0,-0.003646702909859008,0.1297689517759326,0.1298500002737033,491,491,500,
latent_n500_D1_a0.3,beta3,0.0,0.0018254564736491015,0.13722182001076944,0.137349615999878,491,491,500,
latent_n500_D1_a0.3,beta4,0.0,-0.004764795476131667,0.12808298518483413,0.12812486717646215,491,491,500,
latent_n500_D1_a0.3,beta5,0.0,0.0011827752845147321,0.12776545317844154,0.12789027923075288,491,491,500,
latent_n1000_D1_a0.3,beta0,0.0,-0.004233573027802556,0.09020684084218021,0.0901993408967847,491,491,500,name corrected from beta0.eta_pi
latent_n1000_D1_a0.3,beta1,1.0,0.001968309655563432,0.10513516964136878,0.10522395028288359,491,491,500,
latent_n1000_D1_a0.3,beta2,0.0,0.0007884843656390745,0.08803764195502986,0.08812389590523204,491,491,500,
latent_n1000_D1_a0.3,beta3,0.0,-0.00023570540717889296,0.08434676048033005,0.08443245506205867,491,491,500,
latent_n1000_D1_a0.3,beta4,0.0,0.0008085485204486534,0.08564634691656257,0.08572987605615906,491,491,500,
latent_n1000_D1_a0.3,beta5,0.0,0.003872076258926626,0.08754147078372562,0.08754499042789213,491,491,500,
latent_n500_D2_a0.3,beta0,0.0,0.004987188635294945,0.12496363419228784,0.12498912906660953,500,500,500,name corrected from beta0.eta_pi
latent_n500_D2_a0.3,beta1,2.0,0.019701577655263373,0.1885028985885686,0.18765825816601206,500,500,500,
latent_n500_D2_a0.3,beta2,0.0,0.0007199907820258793,0.133452931141447,0.13358464041883425,500,500,500,
latent_n500_D2_a0.3,beta3,0.0,-0.0037444596421453403,0.1249022877575848,0.12497118108295768,500,500,500,
latent_n500_D2_a0.3,beta4,0.0,0.002610619616050083,0.13116898524849283,0.13127434350574888,500,500,500,
latent_n500_D2_a0.3,beta5,0.0,0.0014559806424531306,0.1271616818992793,0.1272806906496299,500,500,500,
latent_n1000_D2_a0.3,beta0,0.0,0.003085570063603465,0.08047478526535752,0.08049614636768704,500,500,500,name corrected from beta0.eta_pi
latent_n1000_D2_a0.3,beta1,2.0,0.013898369956251922,0.14408497684544744,0.14355672374004022,500,500,500,
latent_n1000_D2_a0.3,beta2,0.0,-0.004114748233191865,0.08602880982716063,0.08601640897224304,500,500,500,
latent_n1000_D2_a0.3,beta3,0.0,-0.001627744193178844,0.09084321911212037,0.09091959994854736,500,500,500,
latent_n1000_D2_a0.3,beta4,0.0,0.0010340219238379302,0.09058792925064156,0.09067274572999703,500,500,500,
latent_n1000_D2_a0.3,beta5,0.0,0.0004700494567518676,0.08659856470278333,0.08668401640146434,500,500,500,
